lat,lon,month,dissolved_oxygen
-10.0,-30.0,6,181.0477931034483
-10.0,-25.0,6,173.1184827586207
-10.0,-15.0,6,160.21231034482759
-10.0,-10.0,6,164.11006896551717
-10.0,-5.0,6,155.20490909090907
-5.0,-100.0,6,95.6606896551724
-5.0,-95.0,6,105.09841379310345
-5.0,-90.0,6,105.13689655172413
-5.0,-85.0,6,90.91458620689656
-5.0,-45.0,6,191.2593448275862
-5.0,-40.0,6,178.99448275862068
-5.0,-35.0,6,168.54399999999998
-5.0,-30.0,6,169.6470344827586
-5.0,-25.0,6,166.38496551724143
-5.0,-20.0,6,164.15451724137927
-5.0,-15.0,6,149.0921724137931
-5.0,-10.0,6,156.85482758620685
